puma,sex,age,educ,income,latino,black,asian,married
65702,1,49,6,1500,0,0,0,0
66104,0,69,12,39780,0,0,0,0
62705,1,37,15,10000,1,0,0,0
64403,1,26,10,6400,1,0,0,1
66601,1,26,13,32030,1,0,0,1
62304,0,79,10,166400,0,0,0,1
61000,0,78,12,36000,0,0,1,1
63301,1,35,12,61000,0,0,0,1
62500,1,29,12,24100,0,0,0,1
63401,1,42,8,0,0,0,0,1
68113,1,40,13,55000,0,0,0,1
61503,0,51,11,11300,0,0,0,0
65702,1,93,1,0,1,0,0,0
62406,1,60,11,5600,0,0,0,1
66116,0,49,3,24000,1,0,0,1
65401,1,66,13,58600,0,0,0,0
62302,0,82,5,8800,0,0,0,1
61103,0,38,13,19200,0,1,0,0
66801,0,18,9,0,1,0,0,0
66102,1,49,9,27000,1,0,0,0
62002,0,41,12,0,0,0,0,1
67802,1,32,11,0,1,0,0,1
62401,1,24,12,8100,0,0,1,0
62500,1,75,13,17100,0,0,0,0
64900,1,74,11,8100,0,0,0,1
62708,0,35,13,95140,0,0,1,1
63301,1,71,9,9400,0,0,0,0
62708,1,30,10,20000,0,0,0,0
65409,0,67,13,68604,0,0,0,1
64800,0,44,2,36300,1,0,0,1
67200,0,39,14,0,0,0,0,0
65411,0,26,13,33000,1,0,0,1
62402,1,33,11,30000,0,0,0,0
67501,1,20,11,4000,0,0,1,0
62709,0,24,11,0,0,0,1,0
66111,1,22,5,12500,0,1,0,1
66123,0,21,8,9000,1,0,0,0
62711,1,37,11,38200,0,1,0,1
62205,0,49,12,34000,0,0,1,1
62711,0,45,8,30000,0,0,0,0
64100,1,44,11,52750,0,0,0,0
62403,0,37,12,2500,1,0,0,1
63501,0,35,11,15560,0,0,0,0
64404,0,77,9,5600,0,0,0,1
67300,0,39,13,50180,0,0,0,0
67607,0,26,11,20000,0,0,0,0
66701,0,55,10,105000,0,0,0,1
63302,0,49,3,7200,0,0,0,0
66200,0,45,8,35300,1,0,0,1
67300,0,41,12,27000,0,1,0,0
64500,1,40,9,25000,0,0,0,1
62205,0,26,13,0,0,0,1,0
68200,1,93,9,15800,0,0,0,0
65702,1,85,9,0,0,0,0,1
60300,0,30,9,10600,0,0,0,1
65702,0,49,12,8100,0,0,1,0
65800,1,38,9,12000,0,0,0,1
63501,0,62,15,100000,0,0,0,1
66118,1,49,13,28500,0,0,1,1
62201,1,34,13,55000,0,0,0,1
62404,0,45,7,8400,0,1,0,1
64800,0,84,9,44000,0,0,0,1
62702,1,59,13,100000,0,0,0,1
62103,1,30,10,41000,0,0,0,0
67607,0,49,14,115000,0,0,0,1
62202,0,88,13,149000,0,0,0,0
66116,1,47,1,0,0,0,0,0
66112,1,40,11,30000,1,0,0,1
62402,1,27,10,9000,0,0,1,0
66125,0,58,15,150000,0,0,0,1
60700,1,19,9,1810,0,0,0,0
63402,0,36,13,48000,0,0,0,1
62408,1,43,13,20000,0,0,1,1
67602,0,27,8,22000,1,0,0,1
64000,1,52,11,42000,0,0,0,1
62709,1,54,2,3000,1,0,0,1
66104,0,35,12,60000,0,0,0,1
62403,1,26,14,4000,0,0,0,0
65404,1,20,6,0,1,0,0,1
65404,0,48,12,18300,0,0,0,0
62204,0,30,12,45000,0,0,0,0
66111,0,48,4,26500,1,0,0,1
62707,1,49,14,200,0,0,1,1
62801,1,49,13,48000,0,0,0,1
61101,0,52,3,11300,1,0,0,1
62408,0,39,13,325250,0,0,0,1
66300,0,41,11,40000,0,0,0,0
68003,1,75,9,16400,0,0,0,1
65403,1,65,8,33300,0,1,0,0
62304,1,55,12,43000,0,0,0,0
63901,0,45,3,17600,1,0,0,1
62701,1,19,11,0,0,0,0,0
61602,1,56,9,18500,0,0,0,0
67604,0,18,7,2500,0,0,0,0
67602,1,31,8,16000,0,0,0,0
62707,1,65,13,52400,0,0,0,0
62701,1,52,9,68000,1,0,0,0
66111,1,26,13,10000,1,0,0,0
65300,1,22,5,0,1,0,0,1
67605,0,73,15,490,0,0,1,0
68114,1,69,12,8600,1,0,1,1
61000,1,61,13,37800,0,0,0,0
68116,0,88,10,24900,0,0,0,1
65410,1,50,3,18300,1,0,0,0
64900,0,40,11,25000,0,0,0,1
62410,1,45,16,24600,0,0,1,1
63701,1,44,9,50000,0,0,0,1
62406,0,41,11,20000,0,0,0,1
66200,1,70,12,29400,0,0,0,0
66104,1,30,13,56000,1,0,0,0
67200,0,84,9,33400,0,0,0,1
67400,1,51,9,15300,0,0,0,0
61505,0,56,6,69000,1,0,0,1
62708,1,23,13,1000,1,0,0,0
67300,1,35,13,0,0,0,0,1
68001,1,59,11,16000,0,0,0,0
61101,1,47,16,49800,0,0,0,0
68105,1,48,4,12000,1,0,0,0
68103,0,36,13,62000,0,0,0,1
62714,0,20,8,4000,1,0,0,0
64800,1,73,2,0,1,0,0,0
62305,1,80,9,0,0,0,0,1
66400,0,28,13,30000,0,0,0,1
67501,1,41,6,0,1,0,0,1
60800,0,54,12,40000,0,0,0,1
63502,1,43,10,22000,0,0,0,1
63100,1,67,2,8400,1,0,0,1
65413,0,31,13,122000,0,0,0,0
65407,0,66,2,28000,1,0,0,1
65410,1,31,13,32000,0,0,0,0
60200,1,75,5,12790,0,0,0,0
68111,0,31,13,45000,0,0,1,1
66120,1,61,4,0,0,0,1,1
62802,0,32,10,8000,0,0,0,0
65415,0,62,13,1200,0,0,0,1
65200,1,52,2,0,0,0,0,0
61601,1,33,12,7200,1,0,0,1
68004,0,26,13,77000,0,0,0,0
66602,1,45,12,39000,0,0,0,0
60300,0,88,11,28200,0,0,0,1
66106,0,31,7,14500,0,0,0,1
62601,1,28,4,0,0,0,0,1
67604,0,56,9,24000,0,0,0,0
65000,1,49,13,41800,0,0,1,1
63701,1,47,12,2090,0,0,0,0
60500,1,26,10,26000,0,0,0,1
64800,1,64,10,32000,0,0,0,1
66103,1,21,11,3600,0,0,1,0
67200,1,54,11,38000,0,0,0,0
